,Composition,N Lipids/Layer,N_water,Temperature (K),Avg Membrane Thickness,Kappa (q^-4),Kappa (BW-DCF),Kappa (RSF),Node Features,Edge List,Graph-Level Features
0,85% POPC; 15% POPE,2915,195599,310,3.91,33.75,28.6,12.8253125,"[('D2A', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C4A', 'C1'), ('C2B', 'C1'), ('NH3', 'Qd'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('NH3', 'PO4'), ('GL1', 'PO4'), ('C3A', 'D2A'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1'), ('C3A', 'C4A')]","[0.85, 0.15]"
1,100% DYPC,2916,205428,310,3.23,25.79,28.6,12.66,"[('D2A', 'C3'), ('D2B', 'C3'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C1A', 'D2A'), ('GL1', 'PO4'), ('C3B', 'D2B'), ('C3A', 'D2A'), ('GL1', 'GL2'), ('C1B', 'D2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
2,100% PEPC,2916,192590,310,4.06,30.44,28.6,10.83,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D3A', 'D4A'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
3,100% DNPC,2916,179972,310,5.06,39.68,28.6,12.8253125,"[('C6A', 'C1'), ('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('D4A', 'C3'), ('C6B', 'C1'), ('C5B', 'C1'), ('D4B', 'C3'), ('C5A', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C5B', 'C6B'), ('GL1', 'PO4'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C5B', 'D4B'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C3B', 'D4B'), ('C5A', 'C6A'), ('C3A', 'D4A'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
4,100% DGPC,2916,192590,310,4.41,36.03,28.6,10.93,"[('D3A', 'C3'), ('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('C4A', 'C1'), ('D3B', 'C3'), ('C5B', 'C1'), ('C5A', 'C1'), ('C4B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('C2A', 'D3A'), ('GL1', 'PO4'), ('C4A', 'D3A'), ('C4B', 'D3B'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('NC3', 'PO4'), ('C2B', 'D3B'), ('C1B', 'GL2'), ('C4A', 'C5A'), ('C1A', 'GL1'), ('C4B', 'C5B')]",[1.0]
5,100% DLPC,2916,205428,310,3.42,32.8,28.6,15.51,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C3A', 'C1'), ('C1B', 'C1'), ('C2B', 'C1'), ('C3B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('GL1', 'PO4'), ('GL1', 'GL2'), ('C2A', 'C3A'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
6,100% DTPC,2916,218268,310,2.73,20.11,28.6,15.34,"[('C2A', 'C1'), ('GL2', 'Na'), ('NC3', 'Q0'), ('PO4', 'Qa'), ('C1B', 'C1'), ('C2B', 'C1'), ('GL1', 'Na'), ('C1A', 'C1')]","[('GL1', 'PO4'), ('GL1', 'GL2'), ('C1A', 'C2A'), ('C1B', 'C2B'), ('NC3', 'PO4'), ('C1B', 'GL2'), ('C1A', 'GL1')]",[1.0]
7,100% PAPS,2601,128392,310,3.67,19.21,28.6,4.23,"[('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('CNO', 'P5'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('CNO', 'PO4'), ('GL1', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
8,100% PUPE,2601,192590,310,3.68,13.33,28.6,7.42,"[('D5A', 'C4'), ('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C3B', 'C4B'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('D4A', 'D5A'), ('C1B', 'GL2')]",[1.0]
9,100% PAPE,2601,128393,310,3.79,19.03,28.6,9.02,"[('GL2', 'Na'), ('C1B', 'C1'), ('C2B', 'C1'), ('D3A', 'C4'), ('D2A', 'C4'), ('C3B', 'C1'), ('D4A', 'C4'), ('C5A', 'C1'), ('C4B', 'C1'), ('NH3', 'Qd'), ('GL1', 'Na'), ('D1A', 'C4'), ('PO4', 'Qa')]","[('D2A', 'D3A'), ('GL1', 'PO4'), ('NH3', 'PO4'), ('C3B', 'C4B'), ('C5A', 'D4A'), ('GL1', 'GL2'), ('C1B', 'C2B'), ('C2B', 'C3B'), ('D1A', 'D2A'), ('D3A', 'D4A'), ('D1A', 'GL1'), ('C1B', 'GL2')]",[1.0]
