Composition,N Lipids/Layer,N_water,Temperature (K),Avg Membrane Thickness,Kappa (q^-4),Kappa (BW-DCF),Kappa (RSF)
85% POPC; 15% POPE,2915,195599,310,3.91,33.75,28.6,12.8253125
100% DYPC,2916,205428,310,3.23,25.79,28.6,12.66
100% PEPC,2916,192590,310,4.06,30.44,28.6,10.83
100% DNPC,2916,179972,310,5.06,39.68,28.6,12.8253125
100% DGPC,2916,192590,310,4.41,36.03,28.6,10.93
100% DLPC,2916,205428,310,3.42,32.8,28.6,15.51
100% DTPC,2916,218268,310,2.73,20.11,28.6,15.34
100% PAPS,2601,128392,310,3.67,19.21,28.6,4.23
100% PUPE,2601,192590,310,3.68,13.33,28.6,7.42
100% PAPE,2601,128393,310,3.79,19.03,28.6,9.02
100% PAPC,2916,128392,310,3.7,20.58,28.6,8.37
100% DPSM,2916,130085,310,3.77,34.45,28.6,15.14
100% POPE,2916,130106,310,4.03,35.17,28.6,15.07
100% PIPC,2916,130105,310,3.72,25.41,28.6,10.38
100% DIPC,2601,130901,310,3.51,19.26,28.6,9.13
100% POPC,2916,130068,310,3.89,34.33,28.6,12.89
100% DOPC,2916,130093,310,3.77,29.92,28.6,11.73
100% DPPC,2916,130117,310,4.1,41.25,28.6,15.9
100% DMPC,2704,141240,310,3.42,32.74,28.6,16.5
100% POPC,2809,130580,310,3.89,33.62,28.6,12.8253125
100.00% XNSM,2915,179952,310,4.92,41.05,43.57,24.61
75% POPC; 25% POPE,2916,195573,310,3.93,33.49,28.6,12.8253125
100.00% PAPC,2915,192593,310,3.7,20.36,13.46,17.7
100.00% DXSM,2915,179986,310,5.84,41.4,40932.03,68.18
100.00% PIPC,2915,195587,310,3.72,25.02,17.44,10.54
100.00% PAPE,2915,192591,310,3.79,18.13,9.92,19.38
100% DXPC,2916,179987,310,6.09,62.89,28.6,12.8253125
100% DVPC,2916,195594,310,3.91,36.57,28.6,12.39
100% DMPC,4225,224435,300,3.46,35.81,28.6,17.7
100%LPPC,2916,195565,310,3.76,35.55,28.6,14.91
50% POPC; 50% POPE,2916,195573,310,3.97,33.3,28.6,12.8253125
75% POPE; 25% POPC,2916,195556,310,4.0,32.98,28.6,12.8253125
85% POPE; 15% POPC,2915,195604,310,4.01,32.53,28.6,12.8253125
100% DFPC,2916,195597,310,3.41,17.81,28.6,9.04
100% DBSM,2916,192590,310,4.45,42.07,28.6,12.8253125
100% PQPE,2916,192590,310,3.97,20.2,28.6,12.8253125
100% PGPE,2601,192590,310,4.38,39.22,28.6,12.8253125
100% DNPE,2601,180152,310,5.22,32.33,28.6,12.8253125
100% DAPE,2601,192590,310,3.69,13.72,28.6,12.8253125
100% DGPE,2601,192590,310,4.54,33.16,28.6,12.8253125
100% DFPE,2916,195570,310,3.49,14.17,28.6,10.03
100% DIPE,2916,195585,310,3.61,16.56,28.6,10.1
100% PVSM,2916,195571,310,3.69,31.8,28.6,12.8253125
100% LPPE,2916,130084,310,3.92,39.52,28.6,19.92
100% PIPE,2916,130098,310,3.84,24.44,28.6,12.22
100% DAPC,2601,192590,310,3.61,15.89,28.6,6.68
100% DTPE,2916,218268,310,2.82,22.91,28.6,20.29
100% PGPC,2916,192590,310,4.24,39.1,28.6,12.33
100% DLPE,2916,205428,310,3.56,38.34,28.6,20.94
100% DBPE,2916,192590,310,5.29,76.39,28.6,12.8253125
