,Lipid Comp,Head,Tail,All Node Features,Common Tail Features,Common Head Features,Exclusive Features
0,DAPC,DA,PC,"{'D4A', 'GL2', 'D3A', 'NC3', 'PO4', 'GL1', 'D4B', 'C5B', 'D2A', 'C5A', 'D3B', 'D1A', 'D1B', 'D2B'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'D4A', 'GL2', 'D3A', 'PO4', 'GL1', 'D4B', 'C5B', 'D2A', 'C5A', 'D3B', 'D1A', 'D1B', 'D2B'}",set()
1,DBPC,DB,PC,"{'GL2', 'C1A', 'NC3', 'PO4', 'C3B', 'GL1', 'C5B', 'C5A', 'C4A', 'C2A', 'C1B', 'C2B', 'C4B', 'C3A'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'PO4', 'C3B', 'C5B', 'C1B', 'C4A', 'C2A', 'C2B', 'C4B', 'C3A'}","{'C1A', 'C5A'}"
2,DFPC,DF,PC,"{'D4A', 'GL2', 'D3A', 'C1A', 'NC3', 'PO4', 'GL1', 'D4B', 'D2A', 'C1B', 'D3B', 'D2B'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'D4A', 'GL2', 'D3A', 'C1A', 'PO4', 'GL1', 'D4B', 'D2A', 'C1B', 'D3B', 'D2B'}",set()
3,DGPC,DG,PC,"{'GL2', 'D3A', 'C1A', 'NC3', 'PO4', 'GL1', 'C5B', 'C5A', 'C4A', 'C2A', 'C1B', 'C2B', 'D3B', 'C4B'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'GL2', 'D3A', 'C1A', 'PO4', 'GL1', 'C5B', 'C5A', 'C4A', 'C2A', 'C1B', 'C2B', 'D3B', 'C4B'}",set()
4,DIPC,DI,PC,"{'GL2', 'D3A', 'C1A', 'NC3', 'PO4', 'GL1', 'D2A', 'C4A', 'C1B', 'D3B', 'C4B', 'D2B'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'GL2', 'D3A', 'C1A', 'PO4', 'GL1', 'D2A', 'C4A', 'C1B', 'D3B', 'C4B', 'D2B'}",set()
5,DLPC,DL,PC,"{'GL2', 'C1A', 'NC3', 'PO4', 'C3B', 'GL1', 'C1B', 'C2B', 'C2A', 'C3A'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'GL2', 'C1A', 'PO4', 'C3B', 'GL1', 'C1B', 'C2B', 'C2A', 'C3A'}",set()
6,DNPC,DN,PC,"{'D4A', 'GL2', 'C6A', 'C6B', 'C1A', 'NC3', 'PO4', 'C3B', 'GL1', 'D4B', 'C5B', 'C5A', 'C1B', 'C2A', 'C2B', 'C3A'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'D4A', 'GL2', 'C6A', 'C6B', 'C1A', 'PO4', 'C3B', 'GL1', 'D4B', 'C5B', 'C5A', 'C1B', 'C2A', 'C2B', 'C3A'}",set()
7,DOPC,DO,PC,"{'GL2', 'C1A', 'NC3', 'PO4', 'C3B', 'GL1', 'D2A', 'C4A', 'C1B', 'C4B', 'D2B', 'C3A'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'GL2', 'C1A', 'PO4', 'C3B', 'GL1', 'D2A', 'C4A', 'C1B', 'C4B', 'D2B', 'C3A'}",set()
8,DPPC,DP,PC,"{'GL2', 'C1A', 'NC3', 'PO4', 'C3B', 'GL1', 'C1B', 'C4A', 'C2A', 'C2B', 'C4B', 'C3A'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'C3B', 'C2B', 'C1B', 'C2A', 'C4B', 'C3A'}","{'C1A', 'C4A'}"
9,DRPC,DR,PC,"{'D4A', 'GL2', 'D3A', 'D6B', 'D6A', 'D5B', 'NC3', 'PO4', 'D5A', 'GL1', 'D4B', 'D2A', 'D3B', 'D1A', 'D1B', 'D2B'}","{'GL1', 'GL2', 'NC3', 'PO4'}","{'D4A', 'GL2', 'D3A', 'D6B', 'D6A', 'D5B', 'PO4', 'D5A', 'GL1', 'D4B', 'D2A', 'D3B', 'D1A', 'D1B', 'D2B'}",set()
